symbol,price,day_change_pct,avg_entry_return,median_entry_return,best_entry_return,worst_entry_return,pct_profitable_entries,entry_days,roll3m_avg,roll3m_median,roll3m_best,roll3m_worst,roll3m_pos_pct,roll3m_windows,high_52w,low_52w,as_of
FOCUS,70.37,-0.51,-6.51,-9.74,21.01,-24.56,37.6,125,20.15,22.6,54.79,-18.42,80.5,82.0,97.0,57.06,2026-07-31
KIRLOSIND,3759.3,-0.02,16.84,19.04,52.05,-12.85,77.6,125,17.04,10.95,63.91,-11.84,86.6,82.0,4574.8,2463.0,2026-07-31
VALIANTORG,266.05,-1.26,1.48,-1.68,34.61,-14.43,39.2,125,14.52,14.84,45.19,-12.06,85.4,82.0,329.5,195.0,2026-07-31
GSFC,159.23,-0.88,-3.64,-3.2,14.37,-13.69,19.0,126,-0.82,-0.93,16.49,-16.74,42.2,83.0,186.5,138.83,2026-07-31
ABB,7291.5,-0.26,10.88,7.21,45.16,-4.9,88.9,126,18.8,14.88,61.17,-0.98,95.2,83.0,7924.5,4730.65,2026-07-31
INDNIPPON,1160.6,-0.96,37.48,43.67,70.89,-6.52,88.8,125,19.56,13.26,60.03,-14.3,78.0,82.0,1278.2,675.0,2026-07-31
HALDYNGL,120.9,0.27,6.84,5.28,40.17,-7.25,78.6,70,23.52,25.02,37.96,9.42,100.0,9.0,133.7,85.0,2026-07-31
AVANTEL,159.78,-1.02,3.0,2.79,35.25,-13.05,58.7,126,14.78,13.16,49.32,-13.57,85.5,83.0,197.77,116.9,2026-07-31
GICHSGFIN,147.79,-0.38,-0.69,-0.62,15.67,-8.92,42.1,126,-0.06,-1.91,21.78,-19.5,38.6,83.0,164.43,126.54,2026-07-31
COCHINSHIP,1402.1,-0.11,-5.1,-4.97,17.52,-22.74,17.5,126,2.29,2.47,26.39,-20.87,60.2,83.0,1842.8,1187.0,2026-07-31
GVT&D,4202.3,2.46,0.37,-3.18,44.66,-24.06,44.4,126,29.56,29.99,69.65,-9.59,92.8,83.0,5650.0,2725.0,2026-07-31
KRBL,350.65,0.6,1.17,-0.6,25.7,-10.99,45.6,125,7.28,5.36,37.44,-19.31,68.3,82.0,398.25,274.65,2026-07-31
SHIVAUM,431.0,-2.53,27.77,26.78,56.73,-2.53,98.4,125,16.26,16.44,34.42,-2.74,96.3,82.0,474.0,275.0,2026-07-31
BHARATSE,208.57,-0.56,14.08,13.7,49.08,-17.56,81.7,126,17.4,18.85,54.01,-14.4,85.5,83.0,261.49,135.23,2026-07-31
